ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
MHL,"173,700,000.00","54,038",Marshall Islands,MHL,2,2,4,7.402198453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.045358712,48
MRT,"4,075,675,053.00","3,460,000",Mauritania,MTN,1,1,2,0.057803468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.503968119,98
MUS,"11,313,454,891.00","1,281,000",Mauritius,MRI,7,4,11,0.858704137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.04045911,120
MEX,"1,155,320,000,000.00","113,423,000",Mexico,MEX,38,68,106,0.093455472,1,3,3,7,0.002644966,0.002644966,0.000881655,0.006171588,0.002596683,0.002596683,0.000865561,0.006058927,0.028301887,0.028301887,0.009433962,0.066037736,0.4,0.4,0.1,0.9,0.29,0.39,0.09,0.77,3.01,3.65,1.56,8.22,1.34,1.5,14.99,35,72,75,49,,12,-22.20757191,199
FSM,"318,100,000.00","111,000",Micronesia,FSM,2,4,6,5.405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.071844353,53
MDA,"7,000,318,677.00","3,562,000",Moldova,MDA,10,12,22,0.617630545,0,0,2,2,0.056148231,0,0,0.056148231,0.285701279,0,0,0.285701279,0.090909091,0,0,0.090909091,8.1,0,0,8.1,32.12,0,0,32.12,9.66,0,0,9.66,32.12,8.1,9.66,69,13,48,67,,2,1.250471493,41
MCO,"5,424,000,000.00","35,407",Monaco,MON,1,5,6,16.94580168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.558780253,100
MNG,"8,557,529,910.00","2,756,000",Mongolia,MGL,13,16,29,1.052249637,0,2,3,5,0.108853411,0.07256894,0,0.181422351,0.35056845,0.2337123,0,0.584280751,0.103448276,0.068965517,0,0.172413793,15.6,12,0,27.6,39.41,35.06,0,74.47,11,8.91,0,19.91,109.53,39.6,28.82,43,4,14,22,,7,6.136803091,25
MNE,"4,550,463,278.00","632,000",Montenegro,MNE,16,18,34,5.379746835,0,1,0,1,0,0.158227848,0,0.158227848,0,0.219757844,0,0.219757844,0,0.029411765,0,0.029411765,0,26.2,0,26.2,0,32.97,0,32.97,0,3.8,0,3.8,65.94,52.4,7.6,69,7,6,74,,2,1.474756903,39
MAR,"100,221,000,000.00","31,951,000",Morocco,MAR,18,54,72,0.22534506,0,0,1,1,0.003129792,0,0,0.003129792,0.009977949,0,0,0.009977949,0.013888889,0,0,0.013888889,0.4,0,0,0.4,1.12,0,0,1.12,1.48,0,0,1.48,1.12,0.4,1.48,79,75,82,85,,1,-4.540937017,165
MOZ,"12,797,754,231.00","23,390,000",Mozambique,MOZ,2,4,6,0.025651988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.218039383,129
NAM,"12,300,698,895.00","2,283,000",Namibia,NAM,4,5,9,0.394218134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.121126395,123
NRU,"63,000,000.00","10,372",Nauru,NRU,0,2,2,19.28268415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.020767958,47
NPL,"18,884,495,628.00","29,959,000",Nepal,NEP,3,2,5,0.016689476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.629047083,138
NLD,"836,257,000,000.00","16,616,000",Netherlands,NED,84,98,182,1.095329803,6,6,8,20,0.048146365,0.036109774,0.036109774,0.120365912,0.009566437,0.007174828,0.007174828,0.023916093,0.043956044,0.032967033,0.032967033,0.10989011,6.9,6,4.2,17.1,1.08,1.08,0.73,2.89,4.67,4.26,5.44,14.37,5.43,31.5,29.51,11,46,19,20,,38,12.1786987,15
NZL,"141,406,000,000.00","4,368,000",New Zealand,NZL,93,103,196,4.487179487,6,2,5,13,0.114468864,0.045787546,0.137362637,0.297619048,0.035359179,0.014143671,0.042431014,0.091933864,0.025510204,0.010204082,0.030612245,0.066326531,16.4,7.6,16,40,3.98,2.12,4.29,10.39,2.71,1.32,5.05,9.08,21.09,79.6,20.5,17,20,4,33,,27,19.19084165,12
NIC,"7,297,481,501.00","5,789,000",Nicaragua,NCA,3,3,6,0.103644844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.7814468,109
NER,"6,016,960,988.00","15,512,000",Niger,NIG,2,4,6,0.038679732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.69410874,105
NGA,"235,923,000,000.00","158,423,000",Nigeria,NGR,23,30,53,0.033454738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-10.76621897,192
PRK,"12,280,000,000.00","24,589,122",North Korea,PRK,40,15,55,0.223676144,4,0,2,6,0.008133678,0,0.016267356,0.024401034,0.16286645,0,0.325732899,0.488599349,0.036363636,0,0.072727273,0.109090909,1.2,0,1.9,3.1,18.31,0,32.94,51.25,3.87,0,12,15.87,117.13,6.9,39.87,29,3,52,12,,14,12.81688937,14
NOR,"485,803,000,000.00","4,889,000",Norway,NOR,32,33,65,1.329515238,2,1,1,4,0.020454081,0.020454081,0.040908161,0.081816322,0.002058448,0.002058448,0.004116895,0.00823379,0.015384615,0.015384615,0.030769231,0.061538462,2.9,3.4,4.8,11.1,0.23,0.31,0.42,0.96,1.64,1.99,5.08,8.71,2.11,24.1,20.86,40,60,24,32,,9,-7.860715111,177
OMN,"71,781,535,039.00","2,783,000",Oman,OMA,1,3,4,0.143729788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-4.100642988,162
PAK,"211,092,000,000.00","173,593,000",Pakistan,PAK,2,21,23,0.013249382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-9.944917711,186
PLW,"179,912,815.90","20,472",Palau,PLW,3,2,5,24.42360297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.04550703,49
PSE,"4,000,000,000.00","4,152,000",Palestine,PLE,2,3,5,0.120423892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.499199503,97
PAN,"30,676,800,000.00","3,517,000",Panama,PAN,2,6,8,0.227466591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.211777666,148
PNG,"12,937,183,216.00","6,858,000",Papua New Guinea,PNG,4,4,8,0.116652085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.19335143,127
PRY,"23,877,089,240.00","6,454,000",Paraguay,PAR,4,4,8,0.123954137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.866911316,141
PER,"176,662,000,000.00","29,076,000",Peru,PER,7,9,16,0.055028202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-8.374923852,180
PHL,"224,754,000,000.00","93,261,000",Philippines,PHI,4,7,11,0.011794855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-10.26369578,189
POL,"514,496,000,000.00","38,184,000",Poland,POL,87,130,217,0.568300859,2,2,6,10,0.015713388,0.005237796,0.005237796,0.02618898,0.011661898,0.003887299,0.003887299,0.019436497,0.02764977,0.00921659,0.00921659,0.046082949,2.3,0.9,0.6,3.8,1.31,0.58,0.39,2.28,2.94,1.19,1.52,5.65,3.64,5.9,9.88,27,52,55,66,,16,-2.441950555,150
PRT,"237,522,000,000.00","10,638,000",Portugal,POR,34,46,80,0.752021057,0,1,0,1,0,0.009400263,0,0.009400263,0,0.004210136,0,0.004210136,0,0.0125,0,0.0125,0,1.6,0,1.6,0,0.63,0,0.63,0,1.61,0,1.61,1.26,3.2,3.22,69,74,62,82,,2,-8.163576042,179
PRI,"99,202,000,000.00","3,978,000",Puerto Rico,PUR,6,19,25,0.628456511,0,1,1,2,0.02513826,0.02513826,0,0.050276521,0.010080442,0.010080442,0,0.020160884,0.04,0.04,0,0.08,3.6,4.2,0,7.8,1.13,1.51,0,2.64,4.25,5.17,0,9.42,4.15,12,14.59,58,50,41,50,,3,-2.240542676,149
QAT,"172,982,000,000.00","1,759,000",Qatar,QAT,4,8,12,0.682205799,0,0,2,2,0.113700966,0,0,0.113700966,0.011561897,0,0,0.011561897,0.166666667,0,0,0.166666667,16.3,0,0,16.3,1.3,0,0,1.3,17.72,0,0,17.72,1.3,16.3,17.72,69,73,33,39,,2,-5.728024835,168
ROU,"179,794,000,000.00","21,438,000",Romania,ROU,49,54,103,0.480455266,2,5,2,9,0.009329228,0.023323071,0.009329228,0.041981528,0.011123842,0.027809604,0.011123842,0.050057288,0.019417476,0.048543689,0.019417476,0.087378641,1.3,3.9,1.1,6.3,1.25,4.17,1.12,6.54,2.06,6.27,3.2,11.53,12.95,12.4,24.2,25,32,39,26,,18,9.576227927,21
RUS,"1,857,770,000,000.00","141,750,000",Russia,RUS,227,208,435,0.306878307,24,26,32,82,0.022574956,0.018342152,0.016931217,0.057848325,0.017224952,0.013995274,0.012918714,0.044138941,0.073563218,0.059770115,0.055172414,0.188505747,3.2,3,2,8.2,1.94,2.1,1.31,5.35,7.82,7.72,9.1,24.64,10.07,15.2,50.56,3,36,34,8,,156,106.3049075,1
RWA,"6,377,408,665.00","10,624,000",Rwanda,RWA,2,5,7,0.065888554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.718009575,106
KNA,"708,955,238.40","52,000",Saint Kitts and Nevis,SKN,1,6,7,13.46153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.126980951,60
LCA,"1,232,180,089.00","174,000",Saint Lucia,LCA,3,1,4,2.298850575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.195768665,72
VCT,"687,993,692.70","109,000",Saint Vincent and the Grenadines,VIN,1,2,3,2.752293578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.126367157,59
WSM,"649,414,531.10","184,000",Samoa,SAM,3,5,8,4.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.122614186,58
SMR,"1,487,000,000.00","31,534",San Marino,SMR,3,1,4,12.68472125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.215957372,74
STP,"248,286,777.50","165,000",Sao Tome and Principe,STP,1,1,2,1.212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.060471191,52
SAU,"576,824,000,000.00","27,448,000",Saudi Arabia,KSA,2,17,19,0.069221801,0,0,1,1,0.003643253,0,0,0.003643253,0.001733631,0,0,0.001733631,0.052631579,0,0,0.052631579,0.5,0,0,0.5,0.19,0,0,0.19,5.59,0,0,5.59,0.19,0.5,5.59,79,85,81,79,,1,-18.90061637,197
SEN,"14,291,456,855.00","12,434,000",Senegal,SEN,7,28,35,0.281486247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.301448383,131
SRB,"45,043,430,299.00","7,291,000",Serbia,SRB,36,80,116,1.591002606,1,1,2,4,0.027431079,0.01371554,0.01371554,0.054862159,0.044401592,0.022200796,0.022200796,0.088803183,0.017241379,0.00862069,0.00862069,0.034482759,3.9,2.3,1.6,7.8,4.99,3.33,2.25,10.57,1.83,1.11,1.42,4.36,18.4,13.3,8.31,43,22,38,72,,7,4.019550572,28
