ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
GBR,"2,431,590,000,000.00","62,232,000",UK,GBR,269,287,556,0.893431032,29,17,19,65,0.030530917,0.027317136,0.04659982,0.104447872,0.007813817,0.00699131,0.011926353,0.02673148,0.034172662,0.03057554,0.052158273,0.116906475,4.4,4.5,5.4,14.3,0.88,1.05,1.21,3.14,3.63,3.95,8.61,16.19,6.61,29.6,37.36,4,40,20,13,,140,81.81099253,2
UKR,"165,245,000,000.00","45,871,000",Ukraine,UKR,115,121,236,0.514486277,6,5,9,20,0.019620239,0.010900133,0.01308016,0.043600532,0.054464583,0.030258102,0.036309722,0.121032406,0.038135593,0.021186441,0.025423729,0.084745763,2.8,1.8,1.5,6.1,6.12,4.54,3.67,14.33,4.05,2.74,4.19,10.98,26.21,10.9,22.1,12,18,44,29,,37,28.94043892,6
ARE,"360,245,000,000.00","7,512,000",United Arab Emirates,UAE,2,28,30,0.399361022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-13.6792927,193
URY,"46,709,797,684.00","3,357,000",Uruguay,URU,3,30,33,0.983020554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-3.006339192,155
USA,"15,094,000,000,000.00","309,349,000",United States,USA,271,260,531,0.171650789,46,29,29,104,0.009374525,0.009374525,0.014869937,0.033618987,0.001921293,0.001921293,0.003047569,0.006890155,0.054613936,0.054613936,0.086629002,0.195856874,1.3,1.6,1.7,4.6,0.22,0.29,0.31,0.82,5.81,7.05,14.29,27.15,1.73,9.6,62.78,1,66,47,5,,225,-5.054802964,166
UZB,"45,359,432,355.00","28,228,000",Uzbekistan,UZB,18,36,54,0.191299419,1,0,3,4,0.010627746,0,0.003542582,0.014170327,0.066138394,0,0.022046131,0.088184525,0.055555556,0,0.018518519,0.074074074,1.5,0,0.4,1.9,7.44,0,2.23,9.67,5.91,0,3.06,8.97,14.13,2.7,15.09,47,31,63,48,,6,2.908839696,32
VUT,"819,227,088.40","240,000",Vanuatu,VAN,2,3,5,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.146256798,61
VEN,"316,482,000,000.00","28,834,000",Venezuela,VEN,27,42,69,0.239300825,1,0,0,1,0,0,0.003468128,0.003468128,0,0,0.003159737,0.003159737,0,0,0.014492754,0.014492754,0,0,0.4,0.4,0,0,0.32,0.32,0,0,2.39,2.39,0.96,1.2,7.17,58,77,76,75,,3,-9.834723788,185
VNM,"123,961,000,000.00","86,928,000",Vietnam,VIE,12,6,18,0.020706792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-6.626516991,173
VIR,"1,577,000,000.00","110,000",Virgin Islands,ISV,3,4,7,6.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.232076166,76
YEM,"33,757,503,322.00","24,053,000",Yemen,YEM,1,3,4,0.016629942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-2.480421969,151
ZMB,"19,206,011,889.00","12,927,000",Zambia,ZAM,2,5,7,0.054150228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.61752343,137
